"cellID","avg_intensity_dapi","nuclear_area","nuclear_perimeter","major_axis","minor_axis","axes_ratio","circularity","eccentricity","solidity","x_pos","y_pos","angle","imageID","avg_intensity_core_dapi","avg_intensity_internal_ring_dapi","avg_intensity_external_ring_dapi","total_intensity_core_dapi","total_intensity_internal_ring_dapi","total_intensity_external_ring_dapi","total_intensity_dapi","avg_intensity_beta3","total_intensity_beta3","avg_intensity_rfp","total_intensity_rfp","avg_intensity_ngn2","total_intensity_ngn2","dna_peaks","dna_dots","dna_dots_size_median","spatial_entropy","beta3_group","rfp_group","ngn2_group","experiment","path2ong"
27,1624,150,45,14.9,12.8,0.864,0.912,0.504,0.983,398,311,-0.666139855,"Snap-368",1899,1107,411,2667741,1009785,427229,4723481,674,1960908,4054,11793976,3157,9182543,10,7,0.360703,3.669,2,4,3,"Day1","test"
87,1507,167,50,18.4,11.6,0.63,0.848,0.777,0.984,848,910,0.430457938,"Snap-368",1727,1092,447,2739332,1082967,500515,4876727,1110,3590343,3762,12169701,3076,9950239,11,6,1.3139895,3.702,2,4,3,"Day1","test"
95,1676,147,46,14.9,12.6,0.849,0.869,0.529,0.974,1084,965,1.25311087,"Snap-368",2051,1136,636,2725924,1055329,681706,4772776,1110,3162111,4587,13062668,6100,17372164,10,5,0.51529,3.554,3,4,4,"Day1","test"
109,2244,212,56,18.6,14.7,0.792,0.846,0.61,0.974,224,1109,1.296096645,"Snap-368",2760,1374,431,5309867,1619022,569280,9243542,1122,4623045,6231,25672200,4560,18785472,15,10,1.0048155,3.63,2,4,3,"Day1","test"
123,1753,129,46,17,9.8,0.576,0.783,0.818,0.962,245,1286,-0.76405317,"Snap-368",2234,1128,394,2636625,1044186,420084,4390638,1185,2967515,3625,9080475,7186,18001704,6,4,1.1594025,3.629,3,4,4,"Day1","test"
3,1592,122,43,14.5,11,0.76,0.84,0.65,0.985,1380,22,-1.08978826,"Snap-369",1753,1243,407,2075156,790563,283904,3781748,872,2071424,13219,31394368,12901,30638935,13,12,1.2624605,3.833,2,5,5,"Day1","test"
99,1360,174,49,16.6,13.3,0.802,0.897,0.597,0.983,269,960,0.246030686,"Snap-369",1535,1010,324,2357789,996446,363004,4580204,856,2882222,9290,31297792,13474,45394807,14,10,2.0353955,3.802,2,5,5,"Day1","test"
141,2124,100,39,14.8,8.6,0.58,0.821,0.815,0.974,229,1170,-1.467568576,"Snap-369",2806,1345,392,2430236,1002311,345369,4102263,843,1627216,8593,16592906,3571,6896533,4,5,2.06116,3.688,2,5,3,"Day1","test"
157,2151,104,39,13.3,10.2,0.763,0.867,0.646,0.979,150,1248,-0.376987638,"Snap-369",2757,1433,391,2520267,1108896,353432,4334952,705,1421085,7723,15560998,2567,5171957,6,6,1.7262215,3.715,2,5,3,"Day1","test"
73,1974,241,61,21.4,14.5,0.679,0.826,0.734,0.967,640,951,-0.429739136,"Snap-370",2531,1142,368,5341286,1412826,501252,9246844,899,4210810,4415,20681401,675,3159562,14,12,1.700457,3.622,2,4,2,"Day1","test"
79,1691,136,45,16.2,10.9,0.672,0.834,0.741,0.973,206,587,-0.515989686,"Snap-371",2100,1113,331,2756894,1018811,344621,4452604,1820,4791679,5892,15514046,3050,8031611,10,8,2.318805,3.702,3,4,3,"Day1","test"
50,1975,116,41,14.9,10,0.672,0.855,0.74,0.977,913,366,1.055838777,"Snap-372",2358,1488,387,2501902,1239225,374141,4459459,1487,3357866,5934,13398133,2694,6083421,12,11,0.772935,3.768,3,4,3,"Day1","test"
51,1953,122,44,16.8,9.3,0.555,0.804,0.832,0.976,1443,371,0.964494413,"Snap-372",2334,1482,545,2525603,1327650,562585,4621952,1117,2641966,6004,14204769,3061,7241724,13,14,0.9532865,3.794,3,4,3,"Day1","test"
164,1849,123,42,14.3,11,0.766,0.878,0.643,0.98,596,1216,-0.942391348,"Snap-372",2224,1342,394,2645966,1128521,384819,4422105,1081,2584408,6658,15919192,4896,11706067,10,11,1.442812,3.753,2,4,4,"Day1","test"
29,1571,154,47,16.9,11.8,0.698,0.866,0.716,0.982,1425,458,-0.873666887,"Snap-374",1800,1195,375,2542829,1147657,411196,4706432,717,2148828,8048,24111563,8698,26058990,13,12,1.4685765,3.773,2,4,4,"Day1","test"
35,1514,169,49,16.1,13.4,0.828,0.892,0.561,0.983,1200,509,-1.227051065,"Snap-374",1857,1053,394,2789849,1010283,426202,4954094,941,3078826,8126,26596130,5999,19634553,8,6,2.4476275,3.61,2,5,4,"Day1","test"
